angle_knee, angle_knee_r, angle_hip, angle_hip_r, angle_ankle, angle_ankle_r,elbow, elbow_r, step_length
161.96912000000003,166.09135999999995,169.3532,170.27656,161.96912000000003,166.09135999999995,117.75368,141.03639999999996,12.10296

164.80854368932037,163.79922330097088,171.68009708737867,170.98805825242724,164.80854368932037,163.79922330097088,143.12509708737863,121.82009708737866,13.393155339805825

164.50164634146344,167.50823170731707,170.58189024390245,171.45902439024388,164.50164634146344,167.50823170731707,161.16707317073173,162.5560975609756,10.966097560975609

170.24695278969958,170.7517167381974,173.55167381974252,173.3407296137339,170.24695278969958,170.7517167381974,168.4984549356223,173.58403433476394,5.965879828326181

159.98718309859154,164.88802816901406,170.7775352112676,169.68880281690141,159.98718309859154,164.88802816901406,162.49774647887324,162.99901408450705,12.181830985915493

166.95117216117217,164.23791208791206,172.55208791208793,172.37809523809526,166.95117216117217,164.23791208791206,160.6917216117216,161.21908424908423,10.751245421245422

160.46452261306533,161.4548743718593,167.7547738693467,170.9445728643216,160.46452261306533,161.4548743718593,155.28964824120604,154.19819095477388,9.623819095477387

165.0559832635983,167.1913389121339,173.41117154811712,172.2349372384937,165.0559832635983,167.1913389121339,167.0441841004184,162.3776150627615,6.778828451882845

162.1622896039604,166.72299504950493,171.46995049504952,173.44912128712872,132.29653465346536,166.72299504950493,170.7779702970297,173.90987623762376,12.092710396039603



